n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,0.16,63.1,45.0,0.5,2026-09-10 11:30,2026-09-10 12:40,154.11908,154.40744,0.2,29.88,1.12,0.5,0.0,28.76,trail stop,100028.76
2,BUY,0.16,65.7,45.0,0.5,2026-09-10 13:50,2026-09-10 14:20,154.10354,153.88934,-0.1,-22.27,1.12,0.54,0.0,-23.39,chop scratch,100005.37
3,SELL,0.16,60.3,45.0,0.6,2026-09-11 07:00,2026-09-11 07:45,154.10529,154.23741,-0.1,-13.71,1.12,0.53,0.0,-14.83,chop scratch,99990.54
