n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,15.22,67.1,45.0,0.5,2026-09-10 13:50,2026-09-10 14:55,1.16233,1.16081,14.6,2321.38,106.54,83.38,0.0,2214.84,trail stop,102214.84
2,SELL,0.78,69.8,45.0,0.6,2026-09-11 15:15,2026-09-11 15:35,1.1602,1.16036,-2.2,-11.8,5.46,4.0,0.0,-17.26,trend flip,102197.58
3,SELL,9.01,67.3,45.0,0.5,2026-09-14 08:05,2026-09-14 11:25,1.15611,1.15437,16.7,1567.75,63.07,58.56,0.0,1504.68,trail stop,103702.26
4,SELL,0.36,71.9,45.1,0.571,2026-09-14 14:10,2026-09-14 14:50,1.15483,1.15364,11.3,43.05,2.52,1.95,0.0,40.53,trend flip,103742.79
5,SELL,0.01,76.3,41.8,0.625,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-0.61,0.07,0.05,0.0,-0.68,ATR stop,103742.11
6,SELL,9.68,73.9,45.7,0.556,2026-09-15 10:45,2026-09-15 14:15,1.1536,1.15399,-4.6,-373.06,67.76,48.78,0.0,-440.82,chop scratch,103301.29
7,SELL,11.05,68.5,46.6,0.5,2026-09-16 14:20,2026-09-16 15:45,1.15323,1.15389,-7.4,-736.98,77.35,51.88,0.0,-814.33,ATR stop,102486.96
8,BUY,6.86,66.3,47.7,0.455,2026-09-18 09:15,2026-09-18 10:30,1.14812,1.14801,-1.8,-77.26,48.02,36.1,0.0,-125.28,ATR stop,102361.68
