n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,0.16,61.9,45.0,0.5,2026-09-10 13:45,2026-09-10 14:15,154.00079,153.9726,-0.0,-2.93,1.12,0.54,0.0,-4.05,chop scratch,99995.95
2,SELL,0.16,58.5,45.0,0.4,2026-09-11 07:00,2026-09-11 07:45,154.10529,154.23741,-0.1,-13.71,1.12,0.53,0.0,-14.83,chop scratch,99981.12
3,SELL,0.16,55.2,45.0,0.333,2026-09-11 15:10,2026-09-11 16:10,153.56375,153.71322,-0.1,-15.56,1.12,0.49,0.0,-16.68,chop scratch,99964.45
4,SELL,0.16,56.0,47.9,0.286,2026-09-16 08:25,2026-09-16 09:20,155.00267,155.11611,-0.1,-11.7,1.12,0.48,0.0,-12.82,chop scratch,99951.62
5,SELL,0.16,54.3,52.5,0.25,2026-09-17 07:45,2026-09-17 11:15,155.64651,155.7657,-0.1,-12.24,1.12,0.55,0.0,-13.36,chop scratch,99938.26
6,BUY,0.15,53.4,53.0,0.222,2026-09-18 02:45,2026-09-18 03:20,156.18231,156.95841,0.5,74.16,1.05,0.51,0.0,73.11,ATR target,100011.37
7,BUY,0.15,56.8,52.1,0.3,2026-09-18 07:20,2026-09-18 10:55,157.18854,157.74362,0.3,52.78,1.05,0.49,0.0,51.73,trail stop,100063.1
