n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,22.71,62.2,45.0,0.5,2026-09-10 13:10,2026-09-10 13:30,1.16257,1.16228,2.2,657.3,158.97,115.96,0.0,498.33,prediction hit,100498.33
2,SELL,36.0,70.8,45.0,0.5,2026-09-10 13:40,2026-09-10 14:05,1.16199,1.16188,0.4,396.19,252.0,203.81,0.0,144.19,prediction hit,100642.53
3,SELL,30.28,71.3,45.0,0.6,2026-09-11 12:05,2026-09-11 12:30,1.15938,1.15922,0.8,464.42,211.96,152.78,0.0,252.46,prediction hit,100894.99
