n,side,lots,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,20.0,2026-09-14 08:00,2026-09-14 08:20,1.15656,1.15567,8.2,1782.0,140.0,118.0,0.0,1642.0,trail stop,101642.0
2,SELL,20.0,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-1225.26,140.0,105.26,0.0,-1365.26,ATR stop,100276.74
3,BUY,20.0,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-36.9,140.0,106.9,0.0,-176.9,ATR stop,100099.85
4,SELL,16.23,2026-09-16 13:30,2026-09-16 14:30,1.15386,1.1535,2.9,586.48,113.61,95.18,0.0,472.87,trail stop,100572.72
5,BUY,14.4,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-124.86,100.8,74.46,0.0,-225.66,ATR stop,100347.06
