n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,4.8,63.5,45.0,0.5,2026-09-11 13:50,2026-09-11 14:45,1.15929,1.15878,4.5,247.71,33.6,30.69,0.0,214.11,trail stop,100214.11
2,SELL,7.34,68.0,45.0,0.5,2026-09-14 10:50,2026-09-14 12:15,1.15378,1.15424,-5.3,-339.14,51.38,34.53,0.0,-390.52,chop scratch,99823.6
3,BUY,5.31,63.7,45.0,0.6,2026-09-15 15:20,2026-09-15 15:40,1.15475,1.15389,-9.3,-458.67,37.17,28.56,0.0,-495.84,ATR stop,99327.76
4,SELL,3.4,62.4,46.8,0.5,2026-09-16 13:30,2026-09-16 15:40,1.15374,1.15384,-1.7,-33.8,23.8,17.0,0.0,-57.6,chop scratch,99270.15
5,SELL,2.51,58.4,51.6,0.429,2026-09-18 15:10,2026-09-18 15:40,1.14646,1.14668,-2.9,-55.18,17.57,12.51,0.0,-72.75,chop scratch,99197.4
