n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,6.09,52.8,45.0,0.5,2026-09-10 12:35,2026-09-10 13:15,1.16248,1.1624,-1.4,-43.03,42.63,30.85,0.0,-85.66,chop scratch,99914.34
2,BUY,3.11,50.0,45.0,0.5,2026-09-10 13:20,2026-09-10 13:40,1.16248,1.16221,-3.5,-86.3,21.77,14.77,0.0,-108.07,trend flip,99806.27
3,BUY,2.49,55.1,45.0,0.333,2026-09-11 08:35,2026-09-11 09:10,1.16129,1.16062,-7.5,-168.33,17.43,12.71,0.0,-185.76,ATR stop,99620.51
4,BUY,1.85,43.4,47.6,0.5,2026-09-11 11:00,2026-09-11 11:30,1.15993,1.15979,-2.1,-26.23,12.95,9.58,0.0,-39.18,chop scratch,99581.33
5,BUY,2.1,47.2,52.0,0.4,2026-09-14 08:10,2026-09-14 08:15,1.15603,1.1552,-9.0,-174.02,14.7,12.32,0.0,-188.72,ATR stop,99392.61
6,BUY,1.47,42.0,52.4,0.333,2026-09-14 09:30,2026-09-14 09:50,1.15546,1.15432,-12.1,-167.92,10.29,7.69,0.0,-178.21,ATR stop,99214.41
7,BUY,1.45,32.9,52.7,0.286,2026-09-15 08:20,2026-09-15 10:50,1.15283,1.15336,4.6,77.03,10.15,7.79,0.0,66.88,trail stop,99281.29
8,BUY,1.43,37.6,51.7,0.375,2026-09-15 10:55,2026-09-15 11:25,1.15346,1.15343,-1.0,-4.43,10.01,7.29,0.0,-14.44,chop scratch,99266.84
9,BUY,1.22,39.1,51.9,0.333,2026-09-15 13:35,2026-09-15 15:40,1.15421,1.15389,-3.9,-39.49,8.54,6.55,0.0,-48.03,ATR stop,99218.81
10,BUY,1.66,43.9,52.2,0.3,2026-09-16 08:20,2026-09-16 10:40,1.15486,1.15423,-7.0,-104.49,11.62,9.04,0.0,-116.11,ATR stop,99102.7
11,BUY,1.12,32.6,52.4,0.273,2026-09-16 13:25,2026-09-16 13:45,1.15403,1.15369,-4.1,-37.57,7.84,6.21,0.0,-45.41,trend flip,99057.3
12,BUY,1.87,34.6,52.6,0.25,2026-09-17 08:15,2026-09-17 09:00,1.14748,1.14753,-0.2,8.46,13.09,10.46,0.0,-4.63,ATR stop,99052.67
13,BUY,1.22,42.7,52.7,0.231,2026-09-17 10:00,2026-09-17 13:15,1.14737,1.14734,-0.9,-2.83,8.54,5.88,0.0,-11.37,ATR stop,99041.3
14,BUY,1.27,37.7,52.9,0.214,2026-09-18 08:05,2026-09-18 08:50,1.14823,1.14822,-0.8,-1.75,8.89,6.83,0.0,-10.64,chop scratch,99030.65
15,BUY,1.1,27.8,53.0,0.2,2026-09-18 11:00,2026-09-18 11:30,1.14844,1.14829,-2.2,-16.43,7.7,5.43,0.0,-24.13,chop scratch,99006.53
