n,side,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,2026-09-14 08:00,2026-09-14 08:20,1.15656,1.15567,8.2,0.89,0.07,0.06,0.0,0.82,trail stop,100000.82
2,SELL,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-0.61,0.07,0.05,0.0,-0.68,ATR stop,100000.14
3,BUY,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-0.02,0.07,0.05,0.0,-0.09,ATR stop,100000.05
4,SELL,2026-09-16 13:30,2026-09-16 14:30,1.15386,1.1535,2.9,0.36,0.07,0.06,0.0,0.29,trail stop,100000.34
5,BUY,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-0.09,0.07,0.05,0.0,-0.16,ATR stop,100000.18
