n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,8.22,63.2,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-59.32,57.54,42.88,0.0,-116.86,ATR stop,99883.14
2,SELL,6.2,59.7,45.0,0.4,2026-09-11 13:05,2026-09-11 14:45,1.15924,1.15878,3.9,283.12,43.4,39.28,0.0,239.72,trail stop,100122.85
3,SELL,19.99,65.2,45.0,0.5,2026-09-14 08:00,2026-09-14 08:40,1.15616,1.15599,1.1,350.51,139.93,107.69,0.0,210.58,trail stop,100333.44
4,SELL,20.0,67.3,44.9,0.6,2026-09-14 09:20,2026-09-14 11:25,1.15472,1.15437,2.8,707.33,140.0,102.27,0.0,567.33,trail stop,100900.77
5,SELL,13.36,67.9,41.7,0.667,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-818.47,93.52,70.31,0.0,-911.99,ATR stop,99988.78
6,SELL,12.92,65.5,45.3,0.571,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,25.58,90.44,64.86,0.0,-64.86,chop scratch,99923.92
