n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,0.16,56.5,45.0,0.5,2026-09-10 08:40,2026-09-10 12:30,153.6533,154.62189,0.6,100.22,1.12,0.66,0.0,99.1,ATR target,100099.1
2,BUY,0.16,62.1,45.0,0.6,2026-09-10 12:35,2026-09-10 13:25,154.49375,154.20755,-0.2,-29.69,1.12,0.54,0.0,-30.81,ATR stop,100068.29
3,BUY,0.16,65.3,45.0,0.5,2026-09-10 13:35,2026-09-10 14:05,154.17632,153.86648,-0.2,-32.22,1.12,0.5,0.0,-33.34,ATR stop,100034.95
4,BUY,0.16,57.4,46.6,0.5,2026-09-11 00:05,2026-09-11 01:05,154.36962,154.36268,-0.0,-0.72,1.12,0.55,0.0,-1.84,ATR stop,100033.11
5,BUY,0.16,53.7,51.3,0.429,2026-09-11 07:05,2026-09-11 07:25,154.1856,154.20146,0.0,1.64,1.12,0.53,0.0,0.52,trend flip,100033.64
6,BUY,0.16,56.9,46.5,0.5,2026-09-11 07:30,2026-09-11 07:55,154.20741,154.20862,-0.0,0.12,1.12,0.5,0.0,-1.0,trend flip,100032.64
7,BUY,0.16,52.9,51.2,0.444,2026-09-14 00:00,2026-09-14 00:20,153.4726,153.55836,0.0,8.94,1.12,0.59,0.0,7.82,trend flip,100040.46
8,BUY,0.32,56.5,46.5,0.5,2026-09-14 02:10,2026-09-14 04:35,153.94578,153.94163,-0.0,-0.86,2.24,1.05,0.0,-3.1,ATR stop,100037.35
9,BUY,0.3,55.0,47.0,0.455,2026-09-14 07:05,2026-09-14 09:10,154.32865,154.47186,0.1,27.81,2.1,0.91,0.0,25.71,trail stop,100063.06
10,BUY,0.32,54.0,46.4,0.5,2026-09-15 00:05,2026-09-15 03:00,154.53861,154.73666,0.1,40.95,2.24,1.05,0.0,38.71,trail stop,100101.78
11,BUY,0.32,59.7,45.9,0.538,2026-09-16 00:00,2026-09-16 02:35,155.34887,155.23961,-0.1,-22.52,2.24,1.06,0.0,-24.76,ATR stop,100077.02
12,BUY,0.16,57.7,46.4,0.5,2026-09-16 03:40,2026-09-16 04:35,155.36617,155.28762,-0.1,-8.09,1.12,0.51,0.0,-9.21,chop scratch,100067.8
13,BUY,0.16,57.6,46.9,0.467,2026-09-17 00:00,2026-09-17 03:05,155.97087,156.08364,0.1,11.56,1.12,0.58,0.0,10.44,trail stop,100078.24
14,BUY,0.16,61.4,46.4,0.5,2026-09-17 07:00,2026-09-17 07:20,155.71356,155.64152,-0.1,-7.41,1.12,0.52,0.0,-8.53,trend flip,100069.72
15,BUY,0.16,53.8,46.9,0.471,2026-09-17 08:05,2026-09-17 08:25,155.83363,155.7976,-0.0,-3.7,1.12,0.52,0.0,-4.82,trend flip,100064.9
16,BUY,0.16,55.4,51.2,0.444,2026-09-18 00:00,2026-09-18 00:55,156.16538,156.15948,-0.0,-0.6,1.12,0.54,0.0,-1.72,ATR stop,100063.17
17,BUY,0.16,55.9,51.6,0.421,2026-09-18 02:30,2026-09-18 03:20,156.14328,156.95841,0.5,83.09,1.12,0.54,0.0,81.97,ATR target,100145.14
18,BUY,0.15,55.4,47.6,0.45,2026-09-18 03:25,2026-09-18 05:40,156.94921,157.12152,0.1,16.45,1.05,0.49,0.0,15.4,trail stop,100160.54
