n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,11.5,64.0,45.0,0.5,2026-09-10 13:50,2026-09-10 14:40,1.16207,1.16082,11.8,1433.03,80.5,75.91,0.0,1352.53,sugar full,101352.53
2,SELL,11.08,68.3,45.0,0.5,2026-09-11 11:45,2026-09-11 14:40,1.1596,1.15769,18.4,2115.71,77.56,83.67,0.0,2038.15,sugar full,103390.68
3,SELL,10.14,78.7,45.0,0.6,2026-09-11 15:00,2026-09-11 15:35,1.16,1.16036,-4.3,-362.52,70.98,48.18,0.0,-433.5,chop scratch,102957.18
4,SELL,20.0,71.3,45.2,0.5,2026-09-14 08:05,2026-09-14 08:45,1.15611,1.15556,4.8,1103.7,140.0,136.3,0.0,963.7,sugar full,103920.88
5,SELL,15.33,75.2,41.9,0.571,2026-09-14 09:20,2026-09-14 09:45,1.15533,1.15492,3.4,629.81,107.31,75.37,0.0,522.5,sugar full,104443.38
6,SELL,18.27,77.6,41.7,0.625,2026-09-14 10:50,2026-09-14 13:10,1.15378,1.15455,-8.4,-1413.88,127.89,89.31,0.0,-1541.77,ATR stop,102901.61
