n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.11,63.2,45.0,0.5,2026-09-10 13:40,2026-09-10 16:40,1.16221,1.16254,-4.0,-170.09,35.77,24.45,0.0,-205.86,chop scratch,99794.14
2,SELL,2.74,59.2,45.0,0.4,2026-09-11 13:50,2026-09-11 14:50,1.15929,1.16016,-9.4,-238.49,19.18,16.55,0.0,-257.67,ATR stop,99536.47
3,BUY,2.5,53.3,45.0,0.333,2026-09-15 15:45,2026-09-15 17:05,1.1544,1.15422,-2.5,-44.9,17.5,13.65,0.0,-62.4,chop scratch,99474.07
4,BUY,2.27,50.0,47.9,0.5,2026-09-17 10:15,2026-09-17 13:20,1.14707,1.14709,-0.5,5.55,15.89,11.48,0.0,-10.34,chop scratch,99463.73
5,SELL,2.2,50.8,52.4,0.25,2026-09-18 15:10,2026-09-18 17:00,1.14646,1.14622,1.7,53.13,15.4,11.77,0.0,37.73,session flatten,99501.46
