symbol,source,n,wins,losses,buys,sells,snowball,net_pips,net_usd,best,worst,equity,da_n,banc_mean
EURUSD,hst EURUSD5.hst,5,3,2,0,5,2,21.4,3062.64,3161.72,-1753.36,103062.64,5,1.118
GBPUSD,yahoo 5m GBPUSD=X,10,2,8,3,7,0,-71.3,-1698.69,906.69,-895.99,98301.31,10,0.838
USDJPY,yahoo 5m USDJPY=X,17,5,12,11,6,2,0.4,38.38,94.72,-39.6,100038.38,17,0.917
USDCHF,yahoo 5m USDCHF=X,3,1,2,3,0,0,-1.2,-1164.41,2040.61,-2013.79,98835.59,3,0.974
AUDUSD,yahoo 5m AUDUSD=X,5,1,4,4,1,0,-23.5,-971.45,45.76,-522.12,99028.55,5,0.997
EURGBP,yahoo 5m EURGBP=X,4,1,3,3,1,0,-3.7,-565.1,413.07,-464.79,99434.9,4,1.01
USDCAD,yahoo 5m USDCAD=X,7,1,6,7,0,0,-41.4,-689.64,0.83,-291.67,99310.35,7,0.832
