n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,13.72,63.3,45.0,0.5,2026-09-10 13:50,2026-09-10 14:55,1.16207,1.16081,11.9,1725.24,96.04,75.33,0.0,1629.2,trail stop,101629.2
2,SELL,9.34,68.5,45.0,0.5,2026-09-11 12:05,2026-09-11 13:45,1.15953,1.15953,-0.6,8.01,65.38,48.03,0.0,-57.37,ATR stop,101571.83
3,SELL,9.24,67.5,45.0,0.4,2026-09-11 14:35,2026-09-11 14:45,1.1592,1.15878,3.5,391.25,64.68,61.51,0.0,326.57,trail stop,101898.4
4,SELL,20.0,68.4,45.0,0.5,2026-09-14 08:05,2026-09-14 11:25,1.15572,1.15437,12.8,2706.2,140.0,117.29,0.0,2566.2,trail stop,104464.6
5,SELL,10.06,72.8,41.8,0.571,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-616.3,70.42,52.94,0.0,-686.72,ATR stop,103777.87
6,SELL,12.14,75.0,45.6,0.5,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,24.04,84.98,60.94,0.0,-60.94,chop scratch,103716.93
7,SELL,12.11,74.1,46.9,0.444,2026-09-18 15:10,2026-09-18 17:00,1.14646,1.14622,1.7,292.44,84.77,64.8,0.0,207.67,session flatten,103924.6
