n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.88,62.1,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-42.43,41.16,30.67,0.0,-83.59,ATR stop,99916.41
2,SELL,1.69,59.5,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-264.05,11.83,8.86,0.0,-275.88,ATR stop,99640.53
3,SELL,1.3,54.9,45.0,0.333,2026-09-11 15:00,2026-09-11 16:00,1.16,1.1609,-9.7,-117.14,9.1,5.99,0.0,-126.24,chop scratch,99514.28
4,SELL,2.16,50.8,47.9,0.286,2026-09-15 09:15,2026-09-15 10:15,1.15357,1.15383,-3.3,-56.39,15.12,11.03,0.0,-71.51,chop scratch,99442.77
5,SELL,1.52,43.5,52.4,0.5,2026-09-15 11:15,2026-09-15 12:20,1.15319,1.15396,-8.5,-118.2,10.64,8.0,0.0,-128.84,ATR stop,99313.93
6,BUY,2.02,46.8,52.7,0.4,2026-09-16 10:55,2026-09-16 11:55,1.15403,1.15381,-2.9,-43.73,14.14,9.39,0.0,-57.87,chop scratch,99256.06
7,SELL,1.55,44.2,53.1,0.333,2026-09-16 13:30,2026-09-16 15:45,1.15386,1.15389,-1.0,-4.58,10.85,7.68,0.0,-15.43,ATR stop,99240.63
8,BUY,1.38,46.0,53.3,0.286,2026-09-17 09:15,2026-09-17 09:50,1.14802,1.14708,-10.2,-130.61,9.66,7.79,0.0,-140.27,ATR stop,99100.37
9,BUY,1.2,41.4,53.6,0.25,2026-09-17 13:25,2026-09-17 14:45,1.14728,1.14863,12.8,161.75,8.4,6.25,0.0,153.35,trail stop,99253.71
10,SELL,1.29,46.3,52.7,0.333,2026-09-18 15:10,2026-09-18 17:00,1.14646,1.14622,1.7,31.15,9.03,6.9,0.0,22.12,session flatten,99275.83
