n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,6.1,52.8,45.0,0.5,2026-09-10 12:35,2026-09-10 13:15,1.16248,1.1624,-1.4,-43.1,42.7,30.9,0.0,-85.8,chop scratch,99914.2
2,BUY,3.03,50.0,45.0,0.5,2026-09-10 13:20,2026-09-10 13:40,1.16248,1.16221,-3.5,-84.08,21.21,14.39,0.0,-105.29,trend flip,99808.91
3,BUY,2.48,55.1,45.0,0.333,2026-09-11 08:35,2026-09-11 09:10,1.16129,1.16062,-7.5,-167.66,17.36,12.66,0.0,-185.02,ATR stop,99623.89
4,BUY,1.85,43.4,47.6,0.5,2026-09-11 11:00,2026-09-11 11:30,1.15993,1.15979,-2.1,-26.23,12.95,9.58,0.0,-39.18,chop scratch,99584.72
5,BUY,2.09,46.9,52.0,0.4,2026-09-14 08:10,2026-09-14 08:15,1.15603,1.1552,-9.0,-173.19,14.63,12.26,0.0,-187.82,ATR stop,99396.9
6,BUY,1.44,41.6,52.4,0.333,2026-09-14 09:30,2026-09-14 09:50,1.15546,1.15432,-12.1,-164.49,10.08,7.53,0.0,-174.57,ATR stop,99222.33
7,BUY,1.46,32.4,52.7,0.286,2026-09-15 08:20,2026-09-15 10:50,1.15283,1.15336,4.6,77.56,10.22,7.85,0.0,67.34,trail stop,99289.67
8,BUY,1.43,38.4,51.7,0.375,2026-09-15 10:55,2026-09-15 11:25,1.15346,1.15343,-1.0,-4.43,10.01,7.29,0.0,-14.44,chop scratch,99275.23
9,BUY,1.22,39.2,51.9,0.333,2026-09-15 13:35,2026-09-15 15:40,1.15421,1.15389,-3.9,-39.49,8.54,6.55,0.0,-48.03,ATR stop,99227.19
10,BUY,1.66,44.5,52.2,0.3,2026-09-16 08:20,2026-09-16 10:40,1.15486,1.15423,-7.0,-104.49,11.62,9.04,0.0,-116.11,ATR stop,99111.08
11,BUY,1.12,32.8,52.4,0.273,2026-09-16 13:25,2026-09-16 13:45,1.15403,1.15369,-4.1,-37.57,7.84,6.21,0.0,-45.41,trend flip,99065.68
12,BUY,1.88,34.7,52.6,0.25,2026-09-17 08:15,2026-09-17 09:00,1.14748,1.14753,-0.2,8.79,13.16,10.52,0.0,-4.37,ATR stop,99061.31
13,BUY,1.22,42.9,52.7,0.231,2026-09-17 10:00,2026-09-17 13:15,1.14737,1.14734,-0.9,-2.83,8.54,5.88,0.0,-11.37,ATR stop,99049.94
14,BUY,1.27,38.1,52.9,0.214,2026-09-18 08:05,2026-09-18 08:50,1.14823,1.14822,-0.8,-1.75,8.89,6.83,0.0,-10.64,chop scratch,99039.3
15,BUY,1.1,27.4,53.0,0.2,2026-09-18 11:00,2026-09-18 11:30,1.14844,1.14829,-2.2,-16.43,7.7,5.43,0.0,-24.13,chop scratch,99015.17
