n,side,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,2026-09-17 18:25,2026-09-17 21:35,1.14754,1.14809,-6.2,-0.55,0.07,0.05,0.0,-0.62,ATR stop,99999.38
2,SELL,2026-09-17 22:05,2026-09-17 22:25,1.14744,1.14783,-4.5,-0.38,0.07,0.05,0.0,-0.45,ATR stop,99998.93
3,SELL,2026-09-17 22:35,2026-09-17 22:45,1.14758,1.14784,-3.4,-0.27,0.07,0.05,0.0,-0.34,ATR stop,99998.59
4,SELL,2026-09-17 22:55,2026-09-17 23:00,1.1474,1.14789,-5.6,-0.49,0.07,0.06,0.0,-0.56,ATR stop,99998.03
5,SELL,2026-09-17 23:15,2026-09-17 23:20,1.14746,1.14794,-5.4,-0.47,0.07,0.05,0.0,-0.54,ATR stop,99997.49
6,SELL,2026-09-17 23:30,2026-09-17 23:50,1.14746,1.14784,-4.5,-0.38,0.07,0.05,0.0,-0.45,ATR stop,99997.04
7,SELL,2026-09-18 00:05,2026-09-18 00:25,1.14747,1.1478,-4.1,-0.34,0.07,0.05,0.0,-0.41,ATR stop,99996.63
8,BUY,2026-09-18 03:20,2026-09-18 03:25,1.14819,1.14782,-4.4,-0.37,0.07,0.05,0.0,-0.44,ATR stop,99996.19
9,BUY,2026-09-18 04:00,2026-09-18 04:40,1.14822,1.14783,-4.6,-0.39,0.07,0.05,0.0,-0.46,ATR stop,99995.73
10,BUY,2026-09-18 05:15,2026-09-18 06:00,1.14842,1.14897,4.8,0.55,0.07,0.05,0.0,0.48,ATR target,99996.21
11,BUY,2026-09-18 06:05,2026-09-18 06:35,1.14917,1.14879,-4.5,-0.38,0.07,0.05,0.0,-0.45,ATR stop,99995.76
12,BUY,2026-09-18 06:45,2026-09-18 06:55,1.14896,1.14858,-4.5,-0.38,0.07,0.05,0.0,-0.45,ATR stop,99995.31
13,BUY,2026-09-18 07:05,2026-09-18 07:10,1.14873,1.14842,-3.8,-0.31,0.07,0.05,0.0,-0.38,ATR stop,99994.93
14,SELL,2026-09-18 09:20,2026-09-18 09:40,1.14789,1.14858,-7.6,-0.69,0.07,0.05,0.0,-0.76,ATR stop,99994.17
15,SELL,2026-09-18 12:40,2026-09-18 13:00,1.14718,1.1477,-5.8,-0.51,0.07,0.05,0.0,-0.58,ATR stop,99993.58
16,SELL,2026-09-18 13:10,2026-09-18 13:40,1.14711,1.14618,8.7,0.94,0.07,0.05,0.0,0.87,ATR target,99994.45
17,SELL,2026-09-18 13:50,2026-09-18 14:55,1.14594,1.1465,-6.3,-0.56,0.07,0.05,0.0,-0.63,ATR stop,99993.82
18,SELL,2026-09-18 15:05,2026-09-18 18:40,1.14681,1.14753,-7.9,-0.72,0.07,0.05,0.0,-0.79,ATR stop,99993.03
19,BUY,2026-09-18 19:00,2026-09-18 19:30,1.14758,1.14836,7.1,0.78,0.07,0.05,0.0,0.71,ATR target,99993.74
20,BUY,2026-09-18 19:35,2026-09-18 22:50,1.14839,1.14847,0.1,0.08,0.07,0.05,0.0,0.01,end of data,99993.75
