n,side,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,2026-09-14 08:00,2026-09-14 08:35,1.15656,1.1559,5.9,0.66,0.07,0.06,0.0,0.59,ATR stop,100000.59
2,SELL,2026-09-14 09:20,2026-09-14 10:35,1.15533,1.15401,12.5,1.32,0.07,0.05,0.0,1.25,ATR stop,100001.84
3,SELL,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-0.61,0.07,0.05,0.0,-0.68,ATR stop,100001.16
4,BUY,2026-09-15 14:10,2026-09-15 15:25,1.15415,1.15435,1.4,0.21,0.07,0.05,0.0,0.14,ATR stop,100001.3
5,BUY,2026-09-16 08:05,2026-09-16 08:45,1.15493,1.15439,-6.0,-0.53,0.07,0.05,0.0,-0.6,ATR stop,100000.69
6,BUY,2026-09-16 10:15,2026-09-16 10:45,1.15474,1.15398,-8.3,-0.76,0.07,0.05,0.0,-0.83,ATR stop,99999.86
7,BUY,2026-09-17 09:05,2026-09-17 09:50,1.14795,1.14708,-9.5,-0.88,0.07,0.06,0.0,-0.95,ATR stop,99998.91
8,BUY,2026-09-17 10:35,2026-09-17 11:15,1.1473,1.1472,-1.7,-0.1,0.07,0.05,0.0,-0.17,ATR stop,99998.74
9,SELL,2026-09-18 15:10,2026-09-18 15:55,1.14646,1.14662,-2.2,-0.15,0.07,0.05,0.0,-0.22,ATR stop,99998.52
