n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,10.6,62.4,45.0,0.5,2026-09-18 07:45,2026-09-18 10:40,1.33709,1.33552,-16.5,-1670.15,74.2,55.43,0.0,-1744.35,ATR stop,98255.65
2,SELL,9.04,53.7,45.0,0.4,2026-09-18 14:55,2026-09-18 15:15,1.33599,1.33693,-10.1,-851.57,63.28,44.93,0.0,-914.85,ATR stop,97340.8
3,BUY,5.92,48.2,45.0,0.5,2026-09-21 14:10,2026-09-22 08:00,1.33745,1.33522,-23.0,-1316.56,41.44,27.19,-4.26,-1362.26,ATR stop,95978.54
4,SELL,3.6,43.3,47.7,0.4,2026-09-22 15:25,2026-09-22 21:35,1.3341,1.33509,-10.6,-355.98,25.2,18.88,0.0,-381.18,ATR stop,95597.36
5,SELL,14.81,40.1,52.1,0.333,2026-09-23 11:35,2026-09-23 13:25,1.32768,1.32874,-11.3,-1565.48,103.67,91.21,0.0,-1669.15,ATR stop,93928.21
6,SELL,14.36,37.4,52.4,0.286,2026-09-23 14:25,2026-09-23 14:30,1.32485,1.32632,-15.3,-2101.27,100.52,80.06,0.0,-2201.79,ATR stop,91726.42
