n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,7.86,57.0,45.0,0.5,2026-09-10 12:25,2026-09-10 12:30,1.16315,1.16249,-7.3,-516.05,55.02,44.45,0.0,-571.07,ATR stop,99428.93
2,BUY,2.99,53.2,45.0,0.4,2026-09-10 12:40,2026-09-10 13:00,1.16251,1.16282,2.4,91.94,20.93,15.7,0.0,71.01,trend flip,99499.93
3,BUY,4.19,56.3,45.0,0.5,2026-09-10 13:05,2026-09-10 13:25,1.16281,1.16241,-4.8,-171.03,29.33,20.19,0.0,-200.36,trend flip,99299.57
4,BUY,2.07,48.9,46.1,0.5,2026-09-11 10:55,2026-09-11 11:15,1.16001,1.15988,-2.0,-27.14,14.49,10.58,0.0,-41.63,trend flip,99257.95
5,BUY,1.45,48.2,50.7,0.4,2026-09-11 11:35,2026-09-11 11:55,1.15992,1.15953,-4.6,-56.43,10.15,7.13,0.0,-66.58,trend flip,99191.36
6,BUY,2.77,48.3,51.3,0.333,2026-09-14 08:15,2026-09-14 08:35,1.15536,1.15574,3.1,105.98,19.39,15.9,0.0,86.59,trend flip,99277.95
7,BUY,2.52,51.7,46.4,0.429,2026-09-14 08:45,2026-09-14 09:05,1.15556,1.15536,-2.7,-50.02,17.64,13.48,0.0,-67.66,trend flip,99210.29
8,BUY,2.59,49.3,51.0,0.429,2026-09-14 09:50,2026-09-14 10:10,1.1545,1.15364,-9.3,-223.71,18.13,13.92,0.0,-241.84,ATR stop,98968.45
9,BUY,1.79,40.7,51.4,0.375,2026-09-15 09:05,2026-09-15 09:35,1.15373,1.15359,-2.1,-25.83,12.53,9.72,0.0,-38.36,chop scratch,98930.09
10,BUY,1.24,44.6,51.7,0.333,2026-09-15 13:30,2026-09-15 15:40,1.15425,1.15389,-4.3,-45.09,8.68,6.65,0.0,-53.77,ATR stop,98876.32
11,BUY,2.05,41.7,52.0,0.3,2026-09-16 09:30,2026-09-16 09:50,1.15532,1.15469,-7.1,-130.51,14.35,11.61,0.0,-144.86,ATR stop,98731.46
12,BUY,1.07,35.8,52.2,0.273,2026-09-16 13:25,2026-09-16 13:45,1.15403,1.15369,-4.1,-35.89,7.49,5.93,0.0,-43.38,trend flip,98688.08
13,BUY,1.9,35.9,52.4,0.25,2026-09-17 08:20,2026-09-17 09:00,1.14743,1.14753,0.3,18.51,13.3,10.94,0.0,5.21,trail stop,98693.29
14,BUY,1.91,42.9,51.7,0.308,2026-09-17 09:05,2026-09-17 09:50,1.14795,1.14708,-9.5,-167.67,13.37,11.05,0.0,-181.04,ATR stop,98512.25
15,BUY,1.06,38.4,51.9,0.286,2026-09-17 10:00,2026-09-17 13:15,1.14737,1.14734,-0.9,-2.46,7.42,5.11,0.0,-9.88,ATR stop,98502.38
16,BUY,0.86,27.9,52.1,0.267,2026-09-18 12:40,2026-09-18 13:00,1.14734,1.14754,1.4,17.89,6.02,4.47,0.0,11.87,trend flip,98514.24
17,BUY,1.5,35.7,47.4,0.312,2026-09-18 13:30,2026-09-18 13:50,1.14652,1.14594,-6.4,-86.18,10.5,8.18,0.0,-96.68,trend flip,98417.57
18,BUY,0.7,35.3,47.3,0.294,2026-09-18 14:45,2026-09-18 15:05,1.14643,1.14681,3.1,26.94,4.9,3.86,0.0,22.04,trend flip,98439.61
