n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,8.51,62.0,45.0,0.5,2026-09-10 10:15,2026-09-10 11:55,1.1638,1.16337,-5.0,-365.33,59.57,41.95,0.0,-424.9,chop scratch,99575.1
2,SELL,4.49,59.4,45.0,0.4,2026-09-10 13:50,2026-09-10 15:40,1.16233,1.16088,13.9,655.06,31.43,22.93,0.0,623.63,trail stop,100198.72
3,SELL,7.01,65.8,45.0,0.5,2026-09-11 07:20,2026-09-11 08:00,1.16092,1.16125,-4.0,-230.33,49.07,34.05,0.0,-279.4,chop scratch,99919.33
4,SELL,6.75,62.2,46.6,0.5,2026-09-11 11:45,2026-09-11 14:45,1.1596,1.15878,7.5,554.19,47.25,43.19,0.0,506.94,trail stop,100426.27
5,SELL,7.01,70.6,45.9,0.4,2026-09-14 07:40,2026-09-14 09:40,1.15687,1.155,18.0,1311.34,49.07,38.09,0.0,1262.27,sugar full,101688.53
6,SELL,12.03,74.5,45.3,0.5,2026-09-14 10:50,2026-09-14 13:25,1.15378,1.15489,-11.8,-1340.05,84.21,58.85,0.0,-1424.26,ATR stop,100264.28
7,SELL,14.2,66.2,46.6,0.429,2026-09-14 14:10,2026-09-14 14:45,1.15483,1.15329,14.8,2198.35,99.4,73.65,0.0,2098.95,sugar full,102363.23
8,SELL,15.22,73.6,45.7,0.5,2026-09-14 15:35,2026-09-14 16:10,1.15334,1.15259,6.9,1152.34,106.54,72.87,0.0,1045.8,sugar full,103409.03
9,SELL,20.0,76.4,42.4,0.556,2026-09-15 07:55,2026-09-15 08:45,1.15343,1.15285,5.1,1159.51,140.0,100.49,0.0,1019.51,sugar full,104428.54
10,SELL,20.0,80.9,42.1,0.6,2026-09-15 09:00,2026-09-15 09:25,1.1532,1.15397,-8.4,-1542.98,140.0,102.98,0.0,-1682.98,ATR stop,102745.56
11,SELL,20.0,71.9,45.9,0.545,2026-09-15 10:45,2026-09-15 14:15,1.1536,1.15399,-4.6,-770.78,140.0,100.78,0.0,-910.78,chop scratch,101834.78
12,BUY,18.89,68.7,46.5,0.5,2026-09-15 15:45,2026-09-15 16:45,1.1544,1.15398,-4.9,-787.7,132.23,117.1,0.0,-919.93,ATR stop,100914.86
13,BUY,20.0,63.1,47.4,0.571,2026-09-16 10:55,2026-09-16 11:50,1.15403,1.15389,-2.1,-273.6,140.0,93.6,0.0,-413.6,chop scratch,100501.26
14,SELL,20.0,68.0,51.8,0.462,2026-09-16 13:30,2026-09-16 15:45,1.15386,1.15389,-1.0,-59.1,140.0,99.1,0.0,-199.1,ATR stop,100302.15
15,BUY,19.44,62.6,52.5,0.5,2026-09-17 09:15,2026-09-17 09:50,1.14802,1.14708,-10.2,-1839.84,136.08,109.68,0.0,-1975.92,ATR stop,98326.23
