n,side,lots,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,8.58,2026-09-14 08:00,2026-09-14 08:35,1.15656,1.1559,5.9,570.02,60.06,47.74,0.0,509.96,trail stop,100509.96
2,SELL,5.73,2026-09-14 09:20,2026-09-14 11:25,1.15533,1.15437,8.9,549.42,40.11,29.31,0.0,509.31,trail stop,101019.27
3,SELL,5.73,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-351.04,40.11,30.16,0.0,-391.15,ATR stop,100628.12
4,BUY,5.73,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-10.57,40.11,30.63,0.0,-50.68,ATR stop,100577.44
5,SELL,5.73,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,11.35,40.11,28.76,0.0,-28.76,chop scratch,100548.68
6,BUY,5.73,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-49.68,40.11,29.63,0.0,-89.79,ATR stop,100458.88
