n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,10.42,63.2,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-75.2,72.94,54.36,0.0,-148.14,ATR stop,99851.86
2,SELL,10.06,59.7,45.0,0.4,2026-09-11 13:05,2026-09-11 14:45,1.15924,1.15878,3.9,459.38,70.42,63.74,0.0,388.96,trail stop,100240.82
3,SELL,20.0,63.4,45.0,0.5,2026-09-14 08:05,2026-09-14 11:25,1.15577,1.15437,13.3,2794.25,140.0,119.2,0.0,2654.25,trail stop,102895.07
4,SELL,11.46,69.0,44.9,0.5,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-702.07,80.22,60.31,0.0,-782.29,ATR stop,102112.77
5,SELL,11.04,66.1,46.0,0.4,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,21.86,77.28,55.42,0.0,-55.42,chop scratch,102057.36
6,SELL,10.83,63.6,47.3,0.571,2026-09-18 15:45,2026-09-18 17:00,1.14608,1.14622,-2.1,-152.38,75.81,60.32,0.0,-228.19,session flatten,101829.17
