n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,2.49,63.2,45.0,0.5,2026-09-14 10:50,2026-09-14 11:25,1.15378,1.15437,-6.6,-146.96,17.43,12.5,0.0,-164.39,prediction fail,99835.61
2,BUY,1.44,57.8,45.0,0.4,2026-09-15 15:20,2026-09-15 15:35,1.15475,1.15432,-5.1,-63.23,10.08,7.07,0.0,-73.31,prediction fail,99762.3
3,BUY,1.28,55.3,45.0,0.333,2026-09-15 15:55,2026-09-15 16:05,1.15469,1.15496,2.0,34.98,8.96,6.62,0.0,26.02,prediction hit,99788.32
