n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,0.15,63.8,45.0,0.5,2026-08-31 02:05,2026-08-31 06:05,159.7918,159.85521,-0.0,-5.95,1.05,0.45,0.0,-7.0,chop scratch,99993.0
2,SELL,0.15,61.4,45.0,0.4,2026-08-31 08:15,2026-08-31 08:50,159.55651,159.69931,-0.1,-13.41,1.05,0.45,0.0,-14.46,ATR stop,99978.54
3,SELL,0.15,59.8,45.0,0.333,2026-09-02 07:20,2026-09-02 09:30,159.64454,159.85008,-0.1,-19.29,1.05,0.44,0.0,-20.34,chop scratch,99958.2
4,SELL,0.15,57.3,48.0,0.286,2026-09-02 12:35,2026-09-02 13:25,159.66282,158.86283,0.5,75.54,1.05,0.76,0.0,74.49,ATR target,100032.69
5,SELL,0.15,59.1,51.1,0.375,2026-09-02 14:20,2026-09-02 18:00,158.74574,158.85615,-0.1,-10.43,1.05,0.44,0.0,-11.48,session flatten,100021.21
6,SELL,0.16,59.0,51.8,0.333,2026-09-07 12:05,2026-09-07 12:55,154.73454,154.48839,0.2,25.49,1.12,0.5,0.0,24.37,trail stop,100045.59
7,SELL,0.3,59.8,47.1,0.4,2026-09-07 13:55,2026-09-07 18:00,154.41817,154.36298,0.0,10.73,2.1,0.89,0.0,8.63,session flatten,100054.21
8,SELL,0.23,59.1,46.4,0.455,2026-09-08 00:45,2026-09-08 02:50,153.63889,153.32145,0.2,47.62,1.61,0.76,0.0,46.01,trail stop,100100.23
9,SELL,0.16,60.5,42.9,0.5,2026-09-09 00:25,2026-09-09 00:35,153.34076,153.57735,-0.2,-24.65,1.12,0.52,0.0,-25.77,ATR stop,100074.46
10,SELL,0.16,59.7,46.5,0.462,2026-09-09 07:00,2026-09-09 08:10,153.21921,153.33843,-0.1,-12.44,1.12,0.55,0.0,-13.56,chop scratch,100060.89
