n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.11,63.2,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-36.88,35.77,26.66,0.0,-72.65,ATR stop,99927.35
2,SELL,1.86,58.1,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-290.61,13.02,9.75,0.0,-303.63,ATR stop,99623.72
3,SELL,2.49,51.2,45.0,0.333,2026-09-11 13:05,2026-09-11 14:45,1.15924,1.15878,3.9,113.7,17.43,15.78,0.0,96.27,trail stop,99720.0
4,SELL,5.11,55.0,46.2,0.429,2026-09-14 08:05,2026-09-14 11:25,1.15571,1.15437,12.7,684.33,35.77,29.88,0.0,648.56,trail stop,100368.56
5,SELL,6.66,61.0,45.4,0.5,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-408.01,46.62,35.05,0.0,-454.63,ATR stop,99913.93
6,BUY,2.48,58.4,46.2,0.444,2026-09-15 15:45,2026-09-15 16:45,1.1544,1.15398,-4.9,-103.41,17.36,15.37,0.0,-120.77,ATR stop,99793.15
7,SELL,2.56,56.6,46.9,0.4,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,5.07,17.92,12.85,0.0,-12.85,chop scratch,99780.3
