n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.71,65.2,45.0,0.5,2026-09-10 12:50,2026-09-10 13:45,1.35074,1.35211,-14.5,-785.16,39.97,26.46,0.0,-825.13,ATR stop,99174.87
2,BUY,5.71,56.2,45.0,0.5,2026-09-11 07:55,2026-09-11 08:25,1.35173,1.35092,-8.8,-463.67,39.97,28.23,0.0,-503.64,ATR stop,98671.23
3,BUY,4.7,52.2,45.0,0.4,2026-09-11 15:25,2026-09-11 17:00,1.35255,1.35184,-7.8,-332.61,32.9,22.69,0.0,-365.51,session flatten,98305.72
4,SELL,5.16,47.6,48.0,0.5,2026-09-14 07:20,2026-09-14 09:20,1.34957,1.34824,12.6,686.11,36.12,26.35,0.0,649.99,trail stop,98955.71
5,SELL,3.52,54.8,51.0,0.333,2026-09-14 10:40,2026-09-14 11:00,1.34825,1.3492,-10.2,-334.48,24.64,17.92,0.0,-359.12,ATR stop,98596.59
6,SELL,2.07,50.0,51.6,0.286,2026-09-14 14:35,2026-09-14 15:05,1.34741,1.34875,-14.1,-277.97,14.49,11.63,0.0,-292.46,ATR stop,98304.14
7,BUY,4.53,41.7,52.1,0.6,2026-09-15 13:20,2026-09-15 14:00,1.34856,1.34884,2.1,126.77,31.71,23.24,0.0,95.06,trail stop,98399.2
8,BUY,3.06,45.0,47.2,0.667,2026-09-17 08:15,2026-09-17 11:00,1.33825,1.33727,-10.5,-299.21,21.42,18.38,0.0,-320.63,ATR stop,98078.57
9,SELL,1.66,42.3,47.6,0.571,2026-09-17 15:10,2026-09-17 18:00,1.33542,1.33544,-0.9,-3.58,11.62,8.56,0.0,-15.2,session flatten,98063.37
