n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,4.02,63.9,45.0,0.5,2026-09-10 09:50,2026-09-10 10:05,0.81088,0.80996,-12.0,-454.61,28.14,23.86,0.0,-482.75,ATR stop,99517.25
2,BUY,1.78,58.2,45.0,0.4,2026-09-10 11:20,2026-09-10 12:45,0.81161,0.81272,13.0,243.35,12.46,12.0,0.0,230.89,trail stop,99748.14
3,BUY,1.12,65.7,45.0,0.5,2026-09-10 13:45,2026-09-10 14:25,0.8123,0.8116,-9.3,-96.51,7.84,6.82,0.0,-104.35,chop scratch,99643.8
4,BUY,1.64,56.4,46.6,0.5,2026-09-11 09:40,2026-09-11 12:25,0.81484,0.81445,-5.5,-78.54,11.48,11.29,0.0,-90.02,ATR stop,99553.78
5,BUY,1.87,52.2,51.4,0.429,2026-09-14 09:05,2026-09-14 09:20,0.81875,0.81754,-15.5,-277.21,13.09,12.36,0.0,-290.3,ATR stop,99263.48
6,SELL,1.32,49.1,51.9,0.5,2026-09-14 11:00,2026-09-14 12:20,0.8172,0.81738,-2.9,-28.71,9.24,8.68,0.0,-37.95,ATR stop,99225.53
7,SELL,1.33,45.7,52.4,0.4,2026-09-17 07:05,2026-09-17 07:40,0.82416,0.825,-10.8,-134.78,9.31,9.02,0.0,-144.09,ATR stop,99081.44
8,SELL,0.59,40.7,52.7,0.333,2026-09-17 14:20,2026-09-17 15:20,0.82286,0.82437,-19.0,-108.24,4.13,3.73,0.0,-112.37,ATR stop,98969.08
