n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,3.02,61.4,45.0,0.5,2026-09-02 14:25,2026-09-02 18:00,1.38635,1.38413,15.3,484.25,21.14,10.87,0.0,463.11,session flatten,100463.11
2,SELL,2.91,70.7,45.0,0.5,2026-09-03 12:25,2026-09-03 13:45,1.38007,1.38054,-4.1,-99.05,20.37,10.51,0.0,-119.42,chop scratch,100343.7
3,BUY,2.09,66.2,45.0,0.4,2026-09-04 14:45,2026-09-04 15:40,1.38467,1.38336,-10.2,-199.21,14.63,7.36,0.0,-213.84,chop scratch,100129.85
4,SELL,2.36,60.5,47.3,0.6,2026-09-08 15:00,2026-09-08 16:05,1.37727,1.37883,-12.0,-266.11,16.52,8.67,0.0,-282.63,chop scratch,99847.22
