symbol,source,n,wins,losses,buys,sells,snowball,net_pips,net_usd,best,worst,equity,da_n,banc_mean
EURUSD,hst EURUSD5.hst,4,2,2,0,4,1,10.2,1906.66,2909.55,-1086.06,101906.65,4,1.099
GBPUSD,yahoo 5m GBPUSD=X,2,0,2,1,1,0,-22.3,-800.31,-216.97,-583.34,99199.69,2,0.967
USDJPY,yahoo 5m USDJPY=X,9,4,5,5,4,0,0.7,111.6,77.99,-26.11,100111.6,9,0.965
USDCHF,yahoo 5m USDCHF=X,2,1,1,2,0,0,22.8,1251.57,2311.72,-1060.15,101251.57,2,1.122
AUDUSD,yahoo 5m AUDUSD=X,0,0,0,0,0,0,0,0,0.0,0.0,100000.0,0,1.08
EURGBP,yahoo 5m EURGBP=X,1,0,1,0,1,0,-6.3,-316.54,-316.54,-316.54,99683.46,1,1.047
USDCAD,yahoo 5m USDCAD=X,0,0,0,0,0,0,0,0,0.0,0.0,100000.0,0,0.915
