n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,8.49,61.7,45.0,0.5,2026-09-10 10:15,2026-09-10 11:50,1.1638,1.16322,-6.5,-492.34,59.43,42.37,0.0,-551.77,chop scratch,99448.23
2,SELL,3.83,56.8,45.0,0.4,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-27.64,26.81,19.98,0.0,-54.45,ATR stop,99393.78
3,SELL,0.94,53.5,45.0,0.333,2026-09-10 15:15,2026-09-10 16:20,1.16012,1.16212,-20.7,-187.57,6.58,4.74,0.0,-194.15,ATR stop,99199.63
4,SELL,3.8,50.4,47.8,0.286,2026-09-11 07:20,2026-09-11 08:20,1.16092,1.1614,-5.5,-182.6,26.6,19.2,0.0,-209.2,chop scratch,98990.43
5,SELL,1.84,41.9,52.3,0.5,2026-09-11 11:35,2026-09-11 14:45,1.15974,1.15878,8.9,176.92,12.88,11.68,0.0,164.04,trail stop,99154.46
6,SELL,0.88,45.8,51.3,0.6,2026-09-11 15:30,2026-09-11 16:10,1.15986,1.16142,-16.3,-137.5,6.16,4.18,0.0,-143.66,chop scratch,99010.8
