n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.03,61.7,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-36.3,35.21,26.24,0.0,-71.51,ATR stop,99928.49
2,SELL,1.94,58.9,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-303.11,13.58,10.17,0.0,-316.69,ATR stop,99611.8
3,BUY,2.48,54.2,45.0,0.333,2026-09-11 08:10,2026-09-11 09:10,1.16114,1.16062,-5.9,-128.16,17.36,12.84,0.0,-145.52,chop scratch,99466.28
4,SELL,2.06,50.3,47.9,0.286,2026-09-11 13:05,2026-09-11 14:45,1.15924,1.15878,3.9,94.07,14.42,13.05,0.0,79.65,trail stop,99545.93
5,SELL,2.79,54.6,50.9,0.375,2026-09-14 10:50,2026-09-14 12:15,1.15378,1.15424,-5.3,-128.91,19.53,13.12,0.0,-148.44,chop scratch,99397.49
6,BUY,2.44,50.0,51.5,0.333,2026-09-14 14:30,2026-09-14 14:35,1.15422,1.1534,-9.0,-201.96,17.08,14.08,0.0,-219.04,ATR stop,99178.45
7,SELL,2.24,50.7,52.0,0.3,2026-09-15 09:00,2026-09-15 09:20,1.1532,1.1538,-6.7,-134.73,15.68,11.53,0.0,-150.41,ATR stop,99028.04
8,BUY,1.47,41.1,52.4,0.5,2026-09-15 14:10,2026-09-15 15:40,1.15415,1.15389,-3.3,-37.51,10.29,8.11,0.0,-47.8,ATR stop,98980.24
9,BUY,1.86,42.5,52.6,0.4,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-3.43,13.02,9.94,0.0,-16.45,ATR stop,98963.79
10,SELL,1.52,45.6,52.9,0.333,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,3.01,10.64,7.63,0.0,-7.63,chop scratch,98956.16
11,BUY,1.28,40.3,53.1,0.286,2026-09-17 09:05,2026-09-17 09:50,1.14795,1.14708,-9.5,-112.36,8.96,7.4,0.0,-121.32,ATR stop,98834.84
