symbol,source,n,wins,losses,buys,sells,snowball,net_pips,net_usd,best,worst,equity,da_n,banc_mean
EURUSD,hst EURUSD5.hst,4,2,2,0,4,1,10.2,1906.66,2909.55,-1086.06,101906.65,4,1.099
GBPUSD,yahoo 5m GBPUSD=X,8,2,6,3,5,0,-48.0,-1051.35,149.44,-417.62,98948.64,51,0.873
USDJPY,yahoo 5m USDJPY=X,4,0,4,0,4,0,-0.5,-82.18,-14.83,-26.11,99917.82,45,0.919
USDCHF,yahoo 5m USDCHF=X,8,1,7,5,3,0,-62.0,-1030.94,230.89,-482.75,98969.08,35,0.889
AUDUSD,yahoo 5m AUDUSD=X,1,0,1,1,0,0,-8.7,-485.19,-485.19,-485.19,99514.81,52,1.034
EURGBP,yahoo 5m EURGBP=X,2,0,2,1,1,0,-15.4,-628.5,-206.02,-422.48,99371.5,33,1.034
USDCAD,yahoo 5m USDCAD=X,0,0,0,0,0,0,0,0,0.0,0.0,100000.0,11,0.915
