n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.97,62.0,45.0,0.5,2026-09-10 13:10,2026-09-10 14:35,1.16225,1.16228,-1.0,-17.55,41.79,31.95,0.0,-59.34,ATR stop,99940.66
2,SELL,0.25,60.4,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-39.06,1.75,1.31,0.0,-40.81,ATR stop,99899.85
3,SELL,0.27,53.1,45.0,0.333,2026-09-11 08:05,2026-09-11 08:50,1.16084,1.16107,-3.0,-6.2,1.89,1.34,0.0,-8.09,chop scratch,99891.76
4,SELL,0.26,47.7,47.9,0.5,2026-09-11 10:55,2026-09-11 14:45,1.1595,1.15878,6.5,18.71,1.82,1.64,0.0,16.89,trail stop,99908.65
