n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,3.83,63.2,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-27.64,26.81,19.98,0.0,-54.45,ATR stop,99945.55
2,SELL,1.38,58.0,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-215.61,9.66,7.23,0.0,-225.27,ATR stop,99720.28
3,SELL,1.87,51.2,45.0,0.333,2026-09-11 14:35,2026-09-11 14:45,1.1592,1.15878,3.5,79.18,13.09,12.45,0.0,66.09,trail stop,99786.37
4,SELL,1.84,58.7,46.2,0.429,2026-09-14 13:05,2026-09-14 13:25,1.15416,1.15489,-8.1,-136.01,12.88,9.05,0.0,-148.89,ATR stop,99637.47
5,SELL,1.69,50.6,51.0,0.375,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-103.53,11.83,8.89,0.0,-115.36,ATR stop,99522.11
6,BUY,1.27,49.1,51.5,0.5,2026-09-15 15:45,2026-09-15 16:45,1.1544,1.15398,-4.9,-52.96,8.89,7.87,0.0,-61.85,ATR stop,99460.26
