n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,15.15,62.2,45.0,0.5,2026-09-10 13:10,2026-09-10 13:30,1.16257,1.16228,2.2,438.46,106.05,77.35,0.0,332.41,prediction hit,100332.41
2,SELL,17.26,70.8,45.0,0.5,2026-09-10 13:40,2026-09-10 14:05,1.16199,1.16188,0.4,190.01,120.82,97.71,0.0,69.19,prediction hit,100401.59
3,SELL,14.15,71.3,45.0,0.6,2026-09-11 12:05,2026-09-11 12:30,1.15938,1.15922,0.8,217.21,99.05,71.39,0.0,118.16,prediction hit,100519.75
