n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,20.0,66.5,45.0,0.5,2026-09-10 13:50,2026-09-10 14:45,1.16233,1.1595,27.6,5664.14,140.0,115.86,0.0,5524.14,"profit spike  $3,109 → $5,949  (1.91× this cycle)",105524.14
2,SELL,2.41,71.3,45.0,0.6,2026-09-11 11:25,2026-09-11 14:45,1.1599,1.15878,10.5,270.69,16.87,14.9,0.0,253.82,trail stop,105777.96
3,SELL,0.11,74.2,45.0,0.667,2026-09-14 08:05,2026-09-14 11:25,1.15611,1.15437,16.7,19.14,0.77,0.71,0.0,18.37,trail stop,105796.33
4,SELL,0.01,79.1,44.4,0.714,2026-09-14 12:20,2026-09-14 13:15,1.15384,1.15471,-9.4,-0.87,0.07,0.05,0.0,-0.94,ATR stop,105795.39
5,SELL,0.01,74.2,41.9,0.625,2026-09-14 15:30,2026-09-14 16:20,1.15358,1.15361,-1.1,-0.04,0.07,0.05,0.0,-0.11,ATR stop,105795.28
6,SELL,0.01,74.4,45.9,0.556,2026-09-15 13:35,2026-09-15 16:05,1.15407,1.15514,-11.4,-1.07,0.07,0.05,0.0,-1.14,ATR stop,105794.14
7,SELL,20.0,74.4,46.8,0.5,2026-09-18 15:15,2026-09-18 17:00,1.14646,1.14622,1.7,485.39,140.0,104.61,0.0,345.39,session flatten,106139.53
