n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.01,64.6,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-36.16,35.07,26.14,0.0,-71.23,ATR stop,99928.77
2,SELL,1.88,60.3,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-293.73,13.16,9.85,0.0,-306.89,ATR stop,99621.88
3,SELL,2.31,53.1,45.0,0.333,2026-09-11 12:05,2026-09-11 13:45,1.15953,1.15953,-0.6,1.98,16.17,11.88,0.0,-14.19,ATR stop,99607.69
4,SELL,1.02,54.1,47.9,0.286,2026-09-11 15:00,2026-09-11 16:05,1.16,1.16108,-11.5,-110.18,7.14,4.61,0.0,-117.32,chop scratch,99490.37
5,SELL,4.0,44.8,52.5,0.5,2026-09-14 08:05,2026-09-14 11:25,1.15575,1.15437,13.1,550.69,28.0,23.58,0.0,522.69,trail stop,100013.05
6,SELL,4.79,55.0,51.4,0.25,2026-09-15 09:15,2026-09-15 10:20,1.15357,1.15396,-4.6,-186.59,33.53,23.73,0.0,-220.12,chop scratch,99792.93
7,SELL,2.13,51.3,52.0,0.222,2026-09-15 13:35,2026-09-15 14:20,1.15407,1.15415,-1.5,-16.95,14.91,10.56,0.0,-31.86,chop scratch,99761.07
8,BUY,1.94,53.1,52.4,0.2,2026-09-16 10:55,2026-09-16 12:20,1.15403,1.15361,-4.8,-80.46,13.58,9.65,0.0,-94.04,chop scratch,99667.03
9,BUY,2.12,49.2,52.8,0.6,2026-09-17 10:15,2026-09-17 13:30,1.14707,1.14703,-1.0,-7.3,14.84,10.48,0.0,-22.14,ATR stop,99644.9
10,BUY,1.34,46.8,53.1,0.5,2026-09-17 15:25,2026-09-17 17:35,1.14903,1.14782,-12.8,-161.68,9.38,6.91,0.0,-171.06,ATR stop,99473.84
11,BUY,2.2,42.1,53.3,0.429,2026-09-18 12:50,2026-09-18 13:20,1.14743,1.14683,-6.6,-130.22,15.4,11.42,0.0,-145.62,trend flip,99328.22
