n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,0.16,61.0,45.0,0.5,2026-09-09 07:00,2026-09-09 08:00,153.21921,153.30286,-0.1,-8.73,1.12,0.59,0.0,-9.85,scalp scratch,99990.15
2,SELL,0.16,58.5,45.0,0.5,2026-09-09 14:25,2026-09-09 15:00,153.21941,153.51656,-0.2,-30.97,1.12,0.64,0.0,-32.09,ATR stop,99958.06
3,SELL,0.16,61.7,45.0,0.5,2026-09-11 07:00,2026-09-11 08:00,154.10529,154.26547,-0.1,-16.61,1.12,0.54,0.0,-17.73,scalp scratch,99940.32
4,SELL,0.16,61.9,45.0,0.5,2026-09-11 11:25,2026-09-11 12:30,154.03066,154.13356,-0.1,-10.68,1.12,0.74,0.0,-11.8,scalp scratch,99928.52
5,SELL,0.16,60.6,45.0,0.5,2026-09-16 07:40,2026-09-16 08:40,154.94451,155.03423,-0.1,-9.26,1.12,0.49,0.0,-10.38,scalp scratch,99918.14
6,SELL,0.16,61.3,45.0,0.5,2026-09-17 07:45,2026-09-17 08:45,155.64651,155.78046,-0.1,-13.76,1.12,0.51,0.0,-14.88,scalp scratch,99903.26
7,SELL,0.15,64.5,45.0,0.5,2026-09-22 11:15,2026-09-22 12:15,157.15488,157.19333,-0.0,-3.67,1.05,0.44,0.0,-4.72,scalp scratch,99898.54
