n,side,lots,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,12.5,2026-09-14 08:00,2026-09-14 08:20,1.15656,1.15567,8.2,1113.75,87.5,73.75,0.0,1026.25,trail stop,101026.25
2,SELL,12.62,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-773.14,88.34,66.42,0.0,-861.48,ATR stop,100164.77
3,BUY,12.52,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-23.1,87.64,66.92,0.0,-110.74,ATR stop,100054.04
4,SELL,12.5,2026-09-16 13:30,2026-09-16 14:30,1.15386,1.1535,2.9,451.7,87.5,73.3,0.0,364.2,trail stop,100418.23
5,BUY,12.55,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-108.82,87.85,64.9,0.0,-196.67,ATR stop,100221.56
