n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,0.42,59.6,45.0,0.5,2025-07-07 12:00,2025-07-07 20:00,1.17353,1.17066,-29.4,-120.67,2.94,2.02,0.0,-123.61,session flatten,99876.39
2,BUY,0.24,47.4,45.0,0.5,2025-09-10 12:00,2025-09-10 20:00,1.17207,1.16987,-22.7,-52.72,1.68,1.24,0.0,-54.4,session flatten,99821.99
3,BUY,0.14,40.8,45.0,0.4,2025-09-18 08:00,2025-09-18 20:00,1.18395,1.17858,-54.4,-75.14,0.98,0.73,0.0,-76.12,session flatten,99745.88
4,BUY,0.18,38.7,47.4,0.333,2025-11-17 08:00,2025-11-17 20:00,1.16023,1.15907,-12.3,-20.92,1.26,0.85,0.0,-22.18,session flatten,99723.69
5,BUY,0.18,37.2,51.8,0.286,2025-12-17 12:00,2025-12-17 20:00,1.17333,1.1739,5.1,10.36,1.26,0.89,0.0,9.1,session flatten,99732.79
