n,side,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,2026-09-14 07:00,2026-09-14 07:30,1.1564,1.15699,-6.6,-0.59,0.07,0.05,0.0,-0.66,ATR stop,99999.34
2,SELL,2026-09-14 08:00,2026-09-14 08:15,1.15656,1.15536,11.3,1.2,0.07,0.06,0.0,1.13,ATR target,100000.47
3,SELL,2026-09-14 08:25,2026-09-14 10:15,1.15544,1.1537,16.7,1.74,0.07,0.05,0.0,1.67,ATR target,100002.14
4,SELL,2026-09-14 10:40,2026-09-14 11:50,1.15363,1.15444,-8.8,-0.81,0.07,0.05,0.0,-0.88,ATR stop,100001.26
5,SELL,2026-09-14 12:20,2026-09-14 13:15,1.15384,1.15471,-9.4,-0.87,0.07,0.05,0.0,-0.94,ATR stop,100000.31
6,SELL,2026-09-14 13:40,2026-09-14 14:10,1.15466,1.15499,-4.0,-0.33,0.07,0.05,0.0,-0.4,chop scratch,99999.92
7,SELL,2026-09-14 14:55,2026-09-14 15:20,1.15333,1.15351,-2.5,-0.18,0.07,0.05,0.0,-0.25,ATR stop,99999.67
8,SELL,2026-09-14 15:45,2026-09-14 16:15,1.15295,1.15298,-1.0,-0.03,0.07,0.06,0.0,-0.1,ATR stop,99999.56
9,SELL,2026-09-15 07:00,2026-09-15 07:35,1.15351,1.15354,-0.9,-0.02,0.07,0.05,0.0,-0.09,ATR stop,99999.47
10,SELL,2026-09-15 08:00,2026-09-15 08:50,1.15332,1.15312,1.3,0.2,0.07,0.06,0.0,0.13,ATR stop,99999.61
11,SELL,2026-09-15 09:15,2026-09-15 09:45,1.15357,1.15409,-5.9,-0.52,0.07,0.05,0.0,-0.59,chop scratch,99999.02
12,BUY,2026-09-15 14:10,2026-09-15 15:25,1.15415,1.15435,1.4,0.21,0.07,0.05,0.0,0.14,ATR stop,99999.15
13,BUY,2026-09-15 15:55,2026-09-15 16:15,1.15469,1.1547,-0.6,0.01,0.07,0.05,0.0,-0.06,ATR stop,99999.1
14,BUY,2026-09-16 07:10,2026-09-16 07:35,1.15459,1.15457,-0.8,-0.01,0.07,0.05,0.0,-0.08,ATR stop,99999.01
15,BUY,2026-09-16 08:05,2026-09-16 08:45,1.15493,1.15439,-6.0,-0.53,0.07,0.05,0.0,-0.6,ATR stop,99998.41
16,BUY,2026-09-16 09:05,2026-09-16 09:50,1.1549,1.15469,-2.8,-0.21,0.07,0.05,0.0,-0.28,ATR stop,99998.13
17,BUY,2026-09-16 10:15,2026-09-16 10:45,1.15474,1.15398,-8.3,-0.76,0.07,0.05,0.0,-0.83,ATR stop,99997.29
18,SELL,2026-09-16 12:20,2026-09-16 13:25,1.15361,1.15403,-4.9,-0.42,0.07,0.06,0.0,-0.49,ATR stop,99996.81
19,SELL,2026-09-16 13:50,2026-09-16 14:30,1.15358,1.1535,0.0,0.07,0.07,0.06,0.0,0.0,ATR stop,99996.81
20,SELL,2026-09-16 14:55,2026-09-16 15:15,1.15358,1.15378,-2.7,-0.2,0.07,0.05,0.0,-0.27,ATR stop,99996.54
21,BUY,2026-09-17 09:05,2026-09-17 09:50,1.14795,1.14708,-9.5,-0.88,0.07,0.06,0.0,-0.95,ATR stop,99995.59
22,BUY,2026-09-17 10:15,2026-09-17 11:15,1.14707,1.1472,0.6,0.13,0.07,0.05,0.0,0.06,ATR stop,99995.65
23,BUY,2026-09-17 12:00,2026-09-17 13:05,1.14752,1.14747,-1.1,-0.04,0.07,0.05,0.0,-0.11,ATR stop,99995.54
24,BUY,2026-09-17 15:00,2026-09-17 16:45,1.14898,1.14882,-2.3,-0.16,0.07,0.05,0.0,-0.23,ATR stop,99995.31
25,BUY,2026-09-18 07:05,2026-09-18 07:20,1.14873,1.14826,-5.4,-0.47,0.07,0.05,0.0,-0.54,ATR stop,99994.77
26,SELL,2026-09-18 13:05,2026-09-18 14:45,1.14699,1.14643,4.9,0.56,0.07,0.06,0.0,0.49,ATR stop,99995.26
27,SELL,2026-09-18 15:10,2026-09-18 15:55,1.14646,1.14662,-2.2,-0.15,0.07,0.05,0.0,-0.22,ATR stop,99995.04
