n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.12,63.1,45.0,0.5,2026-09-10 13:50,2026-09-10 14:55,1.16206,1.16081,11.9,642.88,35.84,28.11,0.0,607.04,trail stop,100607.04
2,SELL,5.07,67.9,45.0,0.5,2026-09-11 08:05,2026-09-11 08:20,1.16084,1.1614,-6.2,-280.66,35.49,27.16,0.0,-316.15,ATR stop,100290.89
3,SELL,3.61,64.9,45.0,0.6,2026-09-11 12:05,2026-09-11 13:45,1.15953,1.15953,-0.6,3.09,25.27,18.57,0.0,-22.18,ATR stop,100268.72
4,SELL,2.23,62.7,46.8,0.5,2026-09-14 08:05,2026-09-14 11:25,1.15569,1.15437,12.5,294.8,15.61,12.97,0.0,279.19,trail stop,100547.9
5,SELL,6.82,65.3,46.1,0.4,2026-09-15 10:45,2026-09-15 13:45,1.1536,1.15417,-6.4,-391.62,47.74,33.57,0.0,-439.36,chop scratch,100108.55
6,BUY,4.38,67.4,47.4,0.333,2026-09-15 15:45,2026-09-15 16:45,1.1544,1.15398,-4.9,-182.64,30.66,27.15,0.0,-213.3,ATR stop,99895.24
7,BUY,0.77,57.7,52.7,0.571,2026-09-16 10:55,2026-09-16 11:40,1.15403,1.15405,-0.5,1.78,5.39,3.61,0.0,-3.61,chop scratch,99891.63
8,SELL,0.37,59.8,53.3,0.5,2026-09-16 14:15,2026-09-16 15:25,1.15328,1.15363,-4.2,-12.92,2.59,1.82,0.0,-15.51,chop scratch,99876.12
9,BUY,0.25,59.1,53.8,0.444,2026-09-17 10:15,2026-09-17 13:30,1.14707,1.14703,-1.0,-0.86,1.75,1.24,0.0,-2.61,ATR stop,99873.51
