n,side,lots,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,8.58,2026-09-14 08:00,2026-09-14 08:35,1.15656,1.1559,5.9,570.02,60.06,47.74,0.0,509.96,trail stop,100509.96
2,SELL,13.82,2026-09-14 09:20,2026-09-14 11:25,1.15533,1.15437,8.9,1325.13,96.74,70.69,0.0,1228.39,trail stop,101738.34
3,SELL,13.98,2026-09-14 12:20,2026-09-14 13:15,1.15384,1.15471,-9.4,-1219.55,97.86,73.19,0.0,-1317.41,ATR stop,100420.94
4,SELL,12.95,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-793.35,90.65,68.15,0.0,-884.0,ATR stop,99536.93
5,BUY,7.62,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-14.06,53.34,40.73,0.0,-67.4,ATR stop,99469.54
6,SELL,5.1,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,10.1,35.7,25.6,0.0,-25.6,chop scratch,99443.94
7,BUY,4.35,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-37.72,30.45,22.49,0.0,-68.17,ATR stop,99375.77
