n,side,lots,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,12.5,2026-09-14 08:00,2026-09-14 08:20,1.15656,1.15567,8.2,1113.75,87.5,73.75,0.0,1026.25,trail stop,101026.25
2,SELL,12.62,2026-09-15 08:35,2026-09-15 09:05,1.15287,1.15373,-9.4,-1094.11,88.34,65.58,0.0,-1182.45,ATR stop,99843.8
3,BUY,12.48,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-23.02,87.36,66.7,0.0,-110.38,ATR stop,99733.41
4,SELL,12.46,2026-09-16 13:30,2026-09-16 14:30,1.15386,1.1535,2.9,450.25,87.22,73.07,0.0,363.03,trail stop,100096.44
5,BUY,12.51,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-108.47,87.57,64.69,0.0,-196.04,ATR stop,99900.4
