n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,4.95,60.1,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-35.72,34.65,25.82,0.0,-70.37,ATR stop,99929.63
2,SELL,1.93,58.3,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-301.55,13.51,10.12,0.0,-315.06,ATR stop,99614.57
3,SELL,2.51,52.0,45.0,0.333,2026-09-11 13:05,2026-09-11 14:45,1.15924,1.15878,3.9,114.62,17.57,15.9,0.0,97.05,trail stop,99711.62
4,SELL,2.4,54.1,46.2,0.429,2026-09-14 09:20,2026-09-14 11:25,1.15533,1.15437,8.9,230.12,16.8,12.28,0.0,213.32,trail stop,99924.94
5,SELL,2.26,53.4,45.4,0.5,2026-09-14 12:20,2026-09-14 12:50,1.15384,1.15412,-3.5,-63.76,15.82,11.78,0.0,-79.58,chop scratch,99845.36
6,SELL,2.22,53.1,46.1,0.444,2026-09-14 13:30,2026-09-14 13:50,1.1547,1.15477,-1.4,-15.46,15.54,11.02,0.0,-31.0,trend flip,99814.36
7,SELL,2.39,54.0,46.7,0.4,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-146.42,16.73,12.58,0.0,-163.15,ATR stop,99651.21
8,BUY,2.05,58.7,47.2,0.364,2026-09-15 15:45,2026-09-15 16:45,1.1544,1.15398,-4.9,-85.48,14.35,12.71,0.0,-99.83,ATR stop,99551.38
9,SELL,2.39,54.8,51.7,0.333,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,4.73,16.73,12.0,0.0,-12.0,chop scratch,99539.38
10,BUY,2.22,49.9,52.2,0.5,2026-09-17 09:05,2026-09-17 09:50,1.14795,1.14708,-9.5,-194.88,15.54,12.84,0.0,-210.42,ATR stop,99328.96
