n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,9.48,64.0,45.0,0.5,2026-09-10 13:50,2026-09-10 14:55,1.16207,1.16081,11.9,1191.02,66.36,52.05,0.0,1124.66,trail stop,101124.66
2,SELL,9.09,68.1,45.0,0.5,2026-09-11 11:45,2026-09-11 14:45,1.1596,1.15878,7.5,746.31,63.63,58.16,0.0,682.68,trail stop,101807.34
3,SELL,20.0,72.7,45.0,0.6,2026-09-14 08:05,2026-09-14 11:25,1.15585,1.15437,14.1,2957.91,140.0,122.89,0.0,2817.91,trail stop,104625.25
4,SELL,20.0,76.0,44.3,0.667,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-1225.26,140.0,105.26,0.0,-1365.26,ATR stop,103259.99
