n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,20.0,63.7,45.0,0.5,2026-09-11 15:00,2026-09-11 15:30,1.16,1.16,-0.8,-11.31,140.0,91.31,0.0,-151.31,chop scratch,99848.69
2,SELL,8.78,61.1,45.0,0.4,2026-09-14 09:20,2026-09-14 11:25,1.15533,1.15437,8.9,841.87,61.46,44.91,0.0,780.41,trail stop,100629.1
3,SELL,0.27,63.0,45.0,0.5,2026-09-14 14:10,2026-09-14 15:25,1.15483,1.15374,10.2,29.44,1.89,1.34,0.0,27.55,trail stop,100656.65
4,SELL,0.01,67.6,44.9,0.5,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-0.61,0.07,0.05,0.0,-0.68,ATR stop,100655.97
5,SELL,8.77,64.5,46.0,0.571,2026-09-15 10:45,2026-09-15 13:45,1.1536,1.15417,-6.4,-503.59,61.39,43.16,0.0,-564.98,chop scratch,100090.99
6,BUY,5.58,66.5,46.9,0.4,2026-09-16 10:15,2026-09-16 10:45,1.15474,1.15398,-8.3,-425.42,39.06,29.24,0.0,-464.48,ATR stop,99626.51
7,SELL,7.65,56.7,48.1,0.5,2026-09-16 14:25,2026-09-16 14:40,1.15294,1.15365,-7.8,-544.41,53.55,39.51,0.0,-597.96,ATR stop,99028.55
8,BUY,4.58,52.1,52.6,0.444,2026-09-18 08:45,2026-09-18 09:10,1.14842,1.14782,-6.6,-271.49,32.06,26.46,0.0,-303.55,ATR stop,98725.0
