n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
36,BUY,0.16,43.6,44.6,0.5,2025-12-23 08:00,2025-12-23 20:00,1.17934,1.17933,-0.8,-0.12,1.12,0.84,0.0,-1.24,session flatten,99820.34
37,BUY,0.16,40.5,44.7,0.483,2025-12-24 08:00,2025-12-24 20:00,1.18003,1.17755,-25.4,-39.56,1.12,0.76,0.0,-40.68,session flatten,99779.66
38,BUY,0.17,39.7,48.7,0.467,2025-12-26 12:00,2025-12-26 20:00,1.17914,1.17703,-21.8,-35.8,1.19,0.86,0.0,-36.99,session flatten,99742.67
39,BUY,0.15,26.1,48.8,0.452,2026-01-05 08:00,2026-01-05 20:00,1.1683,1.17202,36.5,55.75,1.05,0.72,0.0,54.7,session flatten,99797.38
40,BUY,0.15,33.1,44.8,0.469,2026-01-06 08:00,2026-01-06 20:00,1.1714,1.16873,-27.4,-39.99,1.05,0.77,0.0,-41.04,session flatten,99756.33
41,BUY,0.18,30.1,49.2,0.455,2026-01-08 08:00,2026-01-08 20:00,1.16773,1.16584,-19.6,-34.08,1.26,0.87,0.0,-35.34,session flatten,99720.99
42,BUY,0.1,34.5,49.7,0.441,2026-01-27 12:00,2026-01-27 20:00,1.19242,1.20374,112.5,113.22,0.7,0.63,0.0,112.52,session flatten,99833.51
43,BUY,0.09,45.2,45.2,0.457,2026-01-28 08:00,2026-01-28 20:00,1.19879,1.19527,-35.9,-31.66,0.63,0.48,0.0,-32.29,session flatten,99801.21
44,BUY,0.09,41.4,45.2,0.444,2026-02-02 12:00,2026-02-02 20:00,1.18216,1.17895,-32.7,-28.84,0.63,0.44,0.0,-29.47,session flatten,99771.75
45,BUY,0.14,24.6,49.9,0.432,2026-02-09 08:00,2026-02-09 20:00,1.1863,1.19114,47.7,67.83,0.98,0.7,0.0,66.85,session flatten,99838.59
46,BUY,0.14,33.9,45.8,0.447,2026-02-10 08:00,2026-02-10 20:00,1.19151,1.18937,-22.1,-29.99,0.98,0.66,0.0,-30.97,session flatten,99807.62
47,BUY,0.17,31.8,46.6,0.436,2026-02-19 12:00,2026-02-19 20:00,1.17661,1.1772,5.2,10.02,1.19,0.94,0.0,8.83,session flatten,99816.45
