n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.89,62.2,45.0,0.5,2026-09-10 13:40,2026-09-10 14:35,1.16221,1.16228,-1.4,-42.51,41.23,30.73,0.0,-83.74,ATR stop,99916.26
2,SELL,1.69,59.8,45.0,0.4,2026-09-10 15:15,2026-09-10 15:50,1.16012,1.16169,-16.3,-264.05,11.83,8.86,0.0,-275.88,ATR stop,99640.39
3,SELL,1.31,55.1,45.0,0.333,2026-09-11 15:00,2026-09-11 16:05,1.16,1.16108,-11.5,-141.51,9.17,5.93,0.0,-150.68,chop scratch,99489.7
