n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,5.58,62.2,45.0,0.5,2026-09-11 13:50,2026-09-11 14:45,1.15929,1.15878,4.5,287.97,39.06,35.67,0.0,248.91,trail stop,100248.91
2,SELL,8.68,66.9,45.0,0.5,2026-09-14 08:05,2026-09-14 11:25,1.15611,1.15437,16.7,1510.33,60.76,56.41,0.0,1449.57,trail stop,101698.48
3,SELL,15.5,72.6,45.0,0.6,2026-09-14 12:20,2026-09-14 13:15,1.15384,1.15471,-9.4,-1352.14,108.5,81.14,0.0,-1460.64,ATR stop,100237.83
4,SELL,16.04,69.4,45.0,0.5,2026-09-18 15:10,2026-09-18 16:55,1.14646,1.14652,-1.3,-88.41,112.28,80.39,0.0,-200.69,chop scratch,100037.15
