n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,6.21,62.2,45.0,0.5,2026-09-10 12:30,2026-09-10 15:05,0.71658,0.71735,-8.4,-478.65,43.47,40.55,0.0,-522.12,ATR stop,99477.88
2,BUY,3.24,54.4,45.0,0.4,2026-09-11 12:45,2026-09-11 13:10,0.71802,0.71799,-1.0,-9.98,22.68,14.71,0.0,-32.66,ATR stop,99445.23
3,BUY,2.89,52.7,45.0,0.333,2026-09-11 13:20,2026-09-11 14:35,0.71833,0.71747,-9.3,-247.61,20.23,13.52,0.0,-267.84,ATR stop,99177.38
4,BUY,2.54,44.2,47.8,0.5,2026-09-14 15:35,2026-09-14 17:20,0.71428,0.71453,1.8,63.54,17.78,12.25,0.0,45.76,trail stop,99223.14
5,BUY,2.95,49.4,50.7,0.6,2026-09-17 12:45,2026-09-17 13:30,0.71209,0.7115,-6.6,-173.94,20.65,13.07,0.0,-194.59,chop scratch,99028.55
