n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,20.0,65.8,45.0,0.5,2026-09-10 13:50,2026-09-10 14:45,1.16228,1.1595,27.0,5545.1,140.0,115.91,0.0,5405.1,"profit spike  $2,990 → $5,830  (1.95× this cycle)",105405.1
2,SELL,1.77,69.1,45.0,0.6,2026-09-11 11:25,2026-09-11 14:45,1.1599,1.15878,10.5,198.8,12.39,10.94,0.0,186.41,trail stop,105591.51
3,SELL,0.1,76.6,45.0,0.667,2026-09-11 15:50,2026-09-11 16:25,1.16012,1.16128,-12.3,-11.56,0.7,0.51,0.0,-12.26,chop scratch,105579.25
4,SELL,20.0,70.7,45.2,0.571,2026-09-14 08:05,2026-09-14 09:50,1.15611,1.1545,15.4,3214.59,140.0,135.41,0.0,3074.59,"sentiment 0.80  +1.05R  float $3,272  peak $3,272  (3.27% of balance)  bb closing",108653.84
5,SELL,1.52,73.8,41.9,0.625,2026-09-15 08:35,2026-09-15 09:25,1.15287,1.15397,-11.7,-167.73,10.64,7.37,0.0,-178.37,ATR stop,108475.46
6,SELL,20.0,69.6,45.8,0.556,2026-09-16 14:20,2026-09-16 15:00,1.15323,1.15343,-2.7,-399.78,140.0,99.78,0.0,-539.78,chop scratch,107935.69
7,SELL,0.45,70.7,46.6,0.5,2026-09-18 15:25,2026-09-18 16:15,1.14636,1.14631,-0.2,2.07,3.15,2.21,0.0,-1.08,trend flip,107934.61
