n,side,lots,conf,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,8.14,61.9,2026-09-14 08:00,2026-09-14 08:35,1.15656,1.1559,5.9,540.78,56.98,45.3,0.0,483.8,trail stop,100483.8
2,SELL,5.44,67.1,2026-09-14 09:20,2026-09-14 11:25,1.15533,1.15437,8.9,521.61,38.08,27.83,0.0,483.53,trail stop,100967.34
3,SELL,5.44,70.5,2026-09-15 08:35,2026-09-15 08:55,1.15287,1.15348,-6.8,-333.27,38.08,28.63,0.0,-371.35,ATR stop,100595.99
4,BUY,5.44,66.6,2026-09-16 08:50,2026-09-16 09:50,1.15471,1.15469,-0.9,-10.04,38.08,29.08,0.0,-48.12,ATR stop,100547.87
5,SELL,5.44,65.8,2026-09-16 13:30,2026-09-16 15:40,1.15386,1.15384,-0.5,10.77,38.08,27.31,0.0,-27.31,chop scratch,100520.56
6,BUY,5.44,61.6,2026-09-17 09:55,2026-09-17 13:15,1.14743,1.14734,-1.6,-47.17,38.08,28.13,0.0,-85.25,ATR stop,100435.31
