n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,3.57,60.8,45.0,0.5,2026-09-02 14:30,2026-09-02 18:00,1.38607,1.38413,13.3,499.97,24.99,13.06,0.0,474.98,session flatten,100474.98
2,SELL,2.99,70.3,45.0,0.5,2026-09-03 12:25,2026-09-03 13:45,1.38007,1.38054,-4.1,-101.77,20.93,10.8,0.0,-122.7,chop scratch,100352.28
3,SELL,2.42,64.4,45.0,0.6,2026-09-08 15:00,2026-09-08 16:05,1.37727,1.37883,-12.0,-272.88,16.94,8.89,0.0,-289.82,chop scratch,100062.46
