n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,15.88,64.0,45.0,0.5,2026-09-10 13:50,2026-09-10 14:45,1.16207,1.1595,25.0,4079.58,111.16,92.18,0.0,3968.42,"profit spike  $2,051 → $4,306  (2.10× this cycle)",103968.42
2,SELL,0.67,67.8,45.0,0.5,2026-09-11 11:05,2026-09-11 14:45,1.15974,1.15878,8.9,64.54,4.69,4.14,0.0,59.85,trail stop,104028.27
3,SELL,0.01,73.9,45.0,0.6,2026-09-14 08:05,2026-09-14 11:25,1.15611,1.15437,16.7,1.74,0.07,0.06,0.0,1.67,trail stop,104029.94
4,SELL,11.07,84.4,44.3,0.667,2026-09-18 15:15,2026-09-18 17:00,1.14646,1.14622,1.7,268.66,77.49,57.9,0.0,191.17,session flatten,104221.11
