n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,1.76,65.8,45.0,0.5,2026-09-09 08:20,2026-09-09 09:20,1.35488,1.35459,-3.6,-50.57,12.32,8.49,0.0,-62.89,scalp scratch,99937.11
2,BUY,1.6,62.1,45.0,0.5,2026-09-09 12:35,2026-09-09 13:35,1.3555,1.35543,-1.5,-12.38,11.2,7.36,0.0,-23.58,scalp scratch,99913.53
3,SELL,1.01,61.8,45.0,0.5,2026-09-10 12:05,2026-09-10 12:40,1.352,1.35005,18.7,196.28,7.07,5.08,0.0,189.21,trail stop,100102.74
4,SELL,1.45,67.5,45.0,0.5,2026-09-10 14:00,2026-09-10 15:00,1.35191,1.35301,-11.7,-159.87,10.15,6.7,0.0,-170.02,scalp scratch,99932.72
5,SELL,1.85,64.4,45.0,0.5,2026-09-10 15:05,2026-09-10 15:35,1.35297,1.3533,-4.0,-61.87,12.95,8.56,0.0,-74.82,scalp scratch,99857.9
6,BUY,1.17,64.1,45.0,0.5,2026-09-11 07:10,2026-09-11 08:00,1.35224,1.35117,-11.4,-125.06,8.19,5.88,0.0,-133.25,ATR stop,99724.65
7,SELL,1.11,63.1,45.0,0.5,2026-09-11 12:10,2026-09-11 12:45,1.35112,1.35169,-6.5,-63.92,7.77,5.63,0.0,-71.69,ATR stop,99652.96
8,SELL,1.51,59.4,45.0,0.5,2026-09-14 07:00,2026-09-14 09:50,1.34917,1.34926,-1.6,-14.23,10.57,8.43,0.0,-24.8,ATR stop,99628.16
9,SELL,1.0,56.9,45.0,0.5,2026-09-14 12:35,2026-09-14 13:15,1.3476,1.34765,-1.2,-5.22,7.0,5.57,0.0,-12.22,ATR stop,99615.94
10,SELL,1.43,62.8,45.0,0.5,2026-09-15 07:40,2026-09-15 08:15,1.34747,1.34803,-6.3,-80.38,10.01,8.15,0.0,-90.39,scalp scratch,99525.55
11,BUY,0.81,60.9,45.0,0.5,2026-09-15 14:00,2026-09-15 15:00,1.34905,1.34888,-2.4,-14.09,5.67,4.07,0.0,-19.76,scalp scratch,99505.79
12,SELL,1.1,65.7,45.0,0.5,2026-09-16 13:05,2026-09-16 14:10,1.34577,1.34569,0.1,8.84,7.7,5.44,0.0,1.14,scalp scratch,99506.93
13,SELL,1.8,63.2,45.0,0.5,2026-09-16 14:15,2026-09-16 14:35,1.34508,1.34615,-11.3,-191.33,12.6,9.33,0.0,-203.93,ATR stop,99302.99
14,SELL,1.79,65.8,45.0,0.5,2026-09-16 14:55,2026-09-16 16:20,1.34534,1.34519,0.8,26.62,12.53,8.47,0.0,14.09,scalp scratch,99317.09
15,SELL,1.53,60.4,45.0,0.5,2026-09-17 13:20,2026-09-17 14:20,1.33747,1.33739,0.1,12.35,10.71,6.97,0.0,1.64,scalp scratch,99318.72
16,SELL,1.57,60.4,45.0,0.5,2026-09-17 14:25,2026-09-17 15:15,1.33629,1.33611,1.1,28.26,10.99,8.29,0.0,17.27,scalp scratch,99336.0
17,SELL,1.61,59.7,45.0,0.5,2026-09-17 15:30,2026-09-17 16:30,1.33451,1.33492,-4.8,-66.32,11.27,8.04,0.0,-77.59,scalp scratch,99258.41
18,SELL,2.01,58.9,45.0,0.5,2026-09-18 12:25,2026-09-18 12:45,1.33362,1.33472,-11.7,-220.32,14.07,9.27,0.0,-234.39,ATR stop,99024.02
19,SELL,1.08,65.6,45.0,0.5,2026-09-18 13:05,2026-09-18 14:05,1.33458,1.33468,-1.7,-10.87,7.56,5.13,0.0,-18.43,scalp scratch,99005.58
20,SELL,0.94,58.7,45.0,0.5,2026-09-21 15:15,2026-09-21 16:15,1.33728,1.33742,-2.1,-13.05,6.58,4.15,0.0,-19.63,scalp scratch,98985.96
21,SELL,0.88,58.3,45.0,0.5,2026-09-22 08:05,2026-09-22 08:35,1.33533,1.33376,15.0,138.34,6.16,4.31,0.0,132.18,trail stop,99118.13
22,SELL,1.24,64.4,45.0,0.5,2026-09-22 08:45,2026-09-22 09:45,1.33499,1.33626,-13.3,-156.76,8.68,5.65,0.0,-165.44,scalp scratch,98952.69
23,SELL,0.91,65.3,45.0,0.5,2026-09-22 09:50,2026-09-22 10:50,1.33648,1.33663,-2.2,-13.68,6.37,4.51,0.0,-20.05,scalp scratch,98932.64
