n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,20.0,65.8,45.0,0.5,2026-09-10 13:50,2026-09-10 14:55,1.16215,1.16081,12.7,2674.31,140.0,109.74,0.0,2534.31,trail stop,102534.31
2,SELL,1.45,66.9,45.0,0.6,2026-09-11 11:25,2026-09-11 14:45,1.15948,1.15878,6.3,101.57,10.15,9.06,0.0,91.42,trail stop,102625.73
3,SELL,0.04,72.7,45.0,0.667,2026-09-14 08:05,2026-09-14 11:25,1.15575,1.15437,13.0,5.5,0.28,0.24,0.0,5.22,trail stop,102630.95
